application_id,country_code,secondary_income,application_date,last_login,applicant_age,annual_income,credit_score,loan_amount,num_dependents,debt_to_income,account_score,monthly_payment,employment_type,loan_purpose,region,marital_status,branch_code,application_notes,is_homeowner,has_cosigner,loan_default
APP-200000,TWN,-,2023-02-16,2022-10-03 00:00:00,21.0,95144.0,638,203963.73,3,0.666,6.25,"$6,150.84",Salaried,Medical,North,Married,BR-016,Applicant seeks a loan to cover expanding a small business; first-time applicant. Ref-900000.,Yes,false,Yes
APP-200001,TWN,null,2023-08-02,2022/02/06,46.0,38091.0,741,34116.64,0,0.26,8.97,$910.19,Salaried,Car,South,Married,BR-032,Client applies for credit toward tuition and education costs; good repayment record. Ref-900001.,No,true,No
APP-200002,TWN,Rental,2022-03-29,26-04-2022,51.0,74456.0,685,107674.66,1,0.424,7.76,"$2,725.35",Salaried,Car,North,Married,BR-020,Client seeks a loan to cover home renovation and repairs; existing customer over 5 years. Ref-900002.,No,false,Yes
APP-200003,TWN,n/a,2023-11-25,10/09/2024,65.0,45992.0,677,66943.34,0,0.472,2.25,"$1,925.63",Salaried,Car,North,Married,BR-002,Client applies for credit toward medical expenses; stable employment history. Ref-900003.,No,true,No
APP-200004,TWN,,2024-05-29,2022/01/02,NA,33291.0,831,54496.0,2,0.581,3.0,"$1,456.84",,Home,North,Married,BR-009,Borrower requests funding for tuition and education costs; first-time applicant. Ref-900004.,Yes,false,No
APP-200005,TWN,?,2021-06-03,2023-07-31 00:00:00,48.0,-,529,74229.51,0,0.826,8.74,"$2,152.46",Salaried,Car,North,Married,BR-028,Applicant seeks a loan to cover tuition and education costs; first-time applicant. Ref-900005.,Yes,false,No
APP-200006,TWN,?,2021-06-23,02-10-2023,37.0,n/a,632,39958.54,0,0.16,0.05,"$1,150.68",Salaried,Education,North,Married,BR-008,Applicant applies for credit toward a new vehicle purchase; existing customer over 5 years. Ref-900006.,No,false,No
APP-200007,TWN,NA,2021-09-21,07/30/2024,34.0,NA,554,92922.4,0,0.252,8.21,"$2,671.71",Contract,Car,North,Divorced,BR-013,Client seeks a loan to cover tuition and education costs; first-time applicant. Ref-900007.,Yes,false,No
APP-200008,TWN,Freelance,2022-04-29,23-08-2022,36.0,,657,68060.65,1,0.833,7.97,"$2,008.85",Salaried,Home,East,Separated,BR-025,Client applies for credit toward expanding a small business; good repayment record. Ref-900008.,No,false,No
APP-200009,TWN,,2022-03-28,02/26/2022,30.0,143679.0,663,105220.57,1,0.15,4.68,"$2,722.67",Salaried,Home,North,Single,BR-014,Borrower applies for credit toward tuition and education costs; existing customer over 5 years. Ref-900009.,No,true,No
APP-200010,TWN,Dividend,2024-02-13,2021/04/17,37.0,125124.0,850,326631.58,1,0.924,3.03,"$8,493.76",Self-employed,Car,East,Married,BR-036,Applicant requests funding for expanding a small business; moderate credit risk profile. Ref-900010.,Yes,false,Yes
APP-200011,TWN,Dividend,2022-02-16,2024/12/05,18.0,49614.0,703,70759.06,1,0.301,2.78,"$1,973.46",NA,Car,North,Single,BR-021,Applicant needs financing for tuition and education costs; good repayment record. Ref-900011.,No,false,No
APP-200012,TWN,null,2024-07-19,01-10-2022,n/a,47602.0,804,28119.25,1,0.153,2.55,$729.10,Self-employed,Travel,North,Divorced,BR-037,Client needs financing for expanding a small business; existing customer over 5 years. Ref-900012.,No,false,No
APP-200013,TWN,null,2024-01-09,06/03/2021,40.0,57844.0,769,140031.99,3,0.931,4.45,"$3,892.75",Salaried,Home,North,Single,BR-037,Borrower seeks a loan to cover medical expenses; good repayment record. Ref-900013.,Yes,false,No
APP-200014,TWN,-,2024-10-04,03/28/2021,71.0,97981.0,649,109020.83,1,0.292,5.05,"$2,887.70",Unemployed,Home,North,Widowed,BR-038,Client seeks a loan to cover expanding a small business; moderate credit risk profile. Ref-900014.,No,false,No
APP-200015,TWN,?,2024-12-21,14-02-2023,49.0,49524.0,712,148388.62,1,0.629,5.53,"$4,522.33",Salaried,Home,North,Single,BR-032,Borrower applies for credit toward tuition and education costs; stable employment history. Ref-900015.,No,true,No
APP-200016,TWN,NA,2021-04-14,11/14/2022,34.0,34490.0,795,96797.27,3,0.632,9.96,"$2,870.42",Contract,Car,North,Married,BR-029,Applicant applies for credit toward expanding a small business; existing customer over 5 years. Ref-900016.,Yes,true,No
APP-200017,TWN,Pension,2023-09-25,2021-06-11 00:00:00,47.0,71195.0,691,193175.79,2,1.062,7.93,"$5,675.97",Salaried,Education,North,Married,BR-006,Client needs financing for medical expenses; moderate credit risk profile. Ref-900017.,Yes,false,No
APP-200018,TWN,n/a,2024-06-19,07/16/2024,25.0,21346.0,694,57838.51,1,0.764,6.22,"$1,724.85",Contract,Car,North,Married,BR-044,Client applies for credit toward home renovation and repairs; stable employment history. Ref-900018.,Yes,true,No
APP-200019,TWN,null,2021-02-18,10/05/2021,33.0,64309.0,714,43986.32,0,0.187,9.89,"$1,159.47",Salaried,Business,North,Widowed,BR-027,Applicant seeks a loan to cover medical expenses; first-time applicant. Ref-900019.,Yes,false,No
APP-200020,TWN,NA,2021-08-29,07/06/2022,18.0,106980.0,575,60629.72,2,0.216,2.15,"$1,694.56",Salaried,Home,North,Married,BR-025,Client seeks a loan to cover a family vacation abroad; moderate credit risk profile. Ref-900020.,No,false,No
APP-200021,TWN,Freelance,2022-03-11,2024-01-21 00:00:00,-,69809.0,623,104888.0,0,0.555,1.6,"$2,980.86",Retired,Home,North,Single,BR-039,Borrower requests funding for home renovation and repairs; moderate credit risk profile. Ref-900021.,Yes,true,No
APP-200022,TWN,Rental,2021-10-29,04-10-2022,47.0,88500.0,703,137286.42,0,0.387,6.13,"$3,470.22",Salaried,Home,North,Single,BR-025,Borrower requests funding for medical expenses; stable employment history. Ref-900022.,Yes,true,No
APP-200023,TWN,?,2024-03-18,2021-04-07 00:00:00,26.0,76675.0,717,116698.75,0,0.341,0.44,"$3,078.90",Contract,Travel,North,Married,BR-007,Client seeks a loan to cover a family vacation abroad; existing customer over 5 years. Ref-900023.,No,false,No
APP-200024,TWN,Pension,2021-07-14,09/04/2023,39.0,86191.0,615,171690.02,1,0.755,0.36,"$5,078.34",Salaried,Car,North,Married,BR-043,Client requests funding for medical expenses; first-time applicant. Ref-900024.,Yes,false,No
APP-200025,TWN,Freelance,,2022/07/13,51.0,64399.0,657,158409.67,0,0.68,5.15,"$4,186.60",Salaried,Car,North,Divorced,BR-012,Client seeks a loan to cover tuition and education costs; stable employment history. Ref-900025.,Yes,false,Yes
APP-200026,TWN,Freelance,2022-06-07,08-12-2023,46.0,null,671,97731.64,2,0.722,4.66,"$2,935.06",Salaried,Home,North,Married,BR-036,Customer seeks a loan to cover medical expenses; good repayment record. Ref-900026.,No,false,No
APP-200027,TWN,Freelance,2023-05-19,2021-10-07 00:00:00,45.0,53521.0,669,151221.4,1,0.654,9.17,"$4,175.92",Salaried,Car,East,Married,BR-019,Customer requests funding for a family vacation abroad; existing customer over 5 years. Ref-900027.,Yes,false,No
